Year,Flow of Official Development Assistance (ODA),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2009,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),5423.6
2009,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),16333.26
2009,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2009,Bilateral,,Undefined,Thousands,GBP (£),21756.86
2010,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),12226.152768
2010,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),10103.14874
2010,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2010,Bilateral,,Undefined,Thousands,GBP (£),22329.301508
2011,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),145.406890000001
2011,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2011,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),20707.77494
2011,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),44.75
2011,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2011,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2011,Bilateral,,Undefined,Thousands,GBP (£),20897.9318299999
2012,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),6803.22644999999
2012,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),19563.40071
2012,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2012,Bilateral,,Undefined,Thousands,GBP (£),26366.62716
2013,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),4397.78774
2013,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2013,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),23046.08977
2013,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),0.0
2013,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2013,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2013,Bilateral,,Undefined,Thousands,GBP (£),27443.87751
2014,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),41013.251467
2014,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2014,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),76673.90039
2014,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),9.4524
2014,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2014,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2014,Bilateral,,Undefined,Thousands,GBP (£),117696.604257
2015,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),7459.41582
2015,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),103246.95879
2015,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),493.36072
2015,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2015,Bilateral,,Undefined,Thousands,GBP (£),111199.73533
2016,Bilateral,Forestry development (31220),Undefined,Thousands,GBP (£),32908.25326
2016,Bilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),45869.83471
2016,Bilateral,Forestry research (31282),Undefined,Thousands,GBP (£),641.5649
2016,Bilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),0.0
2016,Bilateral,,Undefined,Thousands,GBP (£),79419.65287
2010,Multilateral,Forestry development (31220),Undefined,Thousands,GBP (£),2682.62562070232
2010,Multilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),115.689134038847
2010,Multilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),5849.76058336324
2010,Multilateral,Forestry research (31282),Undefined,Thousands,GBP (£),488.424111493616
2010,Multilateral,Forestry services (31291),Undefined,Thousands,GBP (£),21.8632828207251
2010,Multilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),61.350355924747
2010,Multilateral,,Undefined,Thousands,GBP (£),9219.71308834351
2011,Multilateral,Forestry development (31220),Undefined,Thousands,GBP (£),20934.3913823847
2011,Multilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),137.388032948258
2011,Multilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),8574.53662811626
2011,Multilateral,Forestry research (31282),Undefined,Thousands,GBP (£),191.603893287999
2011,Multilateral,Forestry services (31291),Undefined,Thousands,GBP (£),46.5742312829962
2011,Multilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),182.110721761345
2011,Multilateral,,Undefined,Thousands,GBP (£),30066.6048897816
2012,Multilateral,Forestry development (31220),Undefined,Thousands,GBP (£),2078.25710467966
2012,Multilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),153.342031212617
2012,Multilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),7036.6333131755
2012,Multilateral,Forestry research (31282),Undefined,Thousands,GBP (£),153.824094568573
2012,Multilateral,Forestry services (31291),Undefined,Thousands,GBP (£),141.146286557386
2012,Multilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),372.29669496035
2012,Multilateral,,Undefined,Thousands,GBP (£),9935.49952515409
2013,Multilateral,Forestry development (31220),Undefined,Thousands,GBP (£),4521.17225284286
2013,Multilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),111.047219887688
2013,Multilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),11826.6476970214
2013,Multilateral,Forestry research (31282),Undefined,Thousands,GBP (£),320.80654204498
2013,Multilateral,Forestry services (31291),Undefined,Thousands,GBP (£),140.108402570986
2013,Multilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),657.914795491785
2013,Multilateral,,Undefined,Thousands,GBP (£),17577.6969098597
2014,Multilateral,Forestry development (31220),Undefined,Thousands,GBP (£),12646.8164345265
2014,Multilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),12.9854870183597
2014,Multilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),7357.88875036454
2014,Multilateral,Forestry research (31282),Undefined,Thousands,GBP (£),274.879767887835
2014,Multilateral,Forestry services (31291),Undefined,Thousands,GBP (£),9.84891391144755
2014,Multilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),600.614133192649
2014,Multilateral,,Undefined,Thousands,GBP (£),20903.0334869013
2015,Multilateral,Forestry development (31220),Undefined,Thousands,GBP (£),8906.82197150601
2015,Multilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),206.993485919652
2015,Multilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),4883.09810606325
2015,Multilateral,Forestry research (31282),Undefined,Thousands,GBP (£),112.299812034418
2015,Multilateral,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2015,Multilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),361.394073484385
2015,Multilateral,,Undefined,Thousands,GBP (£),14470.6074490077
2016,Multilateral,Forestry development (31220),Undefined,Thousands,GBP (£),8596.2061001865
2016,Multilateral,Forestry education/training (31281),Undefined,Thousands,GBP (£),172.528617523869
2016,Multilateral,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),4884.09810606326
2016,Multilateral,Forestry research (31282),Undefined,Thousands,GBP (£),175.734946557775
2016,Multilateral,Forestry services (31291),Undefined,Thousands,GBP (£),104.258874182665
2016,Multilateral,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),529.908249417804
2016,Multilateral,,Undefined,Thousands,GBP (£),14462.7348939318
2010,,Forestry development (31220),Undefined,Thousands,GBP (£),14908.7783887023
2010,,Forestry education/training (31281),Undefined,Thousands,GBP (£),115.689134038847
2010,,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),15952.9093233632
2010,,Forestry research (31282),Undefined,Thousands,GBP (£),488.424111493616
2010,,Forestry services (31291),Undefined,Thousands,GBP (£),21.8632828207251
2010,,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),61.350355924747
2010,,,Undefined,Thousands,GBP (£),31549.0145963435
2011,,Forestry development (31220),Undefined,Thousands,GBP (£),21079.7982723847
2011,,Forestry education/training (31281),Undefined,Thousands,GBP (£),137.388032948258
2011,,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),29282.3115681162
2011,,Forestry research (31282),Undefined,Thousands,GBP (£),236.353893287999
2011,,Forestry services (31291),Undefined,Thousands,GBP (£),46.5742312829962
2011,,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),182.110721761345
2011,,,Undefined,Thousands,GBP (£),50964.5367197816
2012,,Forestry development (31220),Undefined,Thousands,GBP (£),8881.48355467966
2012,,Forestry education/training (31281),Undefined,Thousands,GBP (£),153.342031212617
2012,,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),26600.0340231755
2012,,Forestry research (31282),Undefined,Thousands,GBP (£),153.824094568573
2012,,Forestry services (31291),Undefined,Thousands,GBP (£),141.146286557386
2012,,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),372.29669496035
2012,,,Undefined,Thousands,GBP (£),36302.1266851541
2013,,Forestry development (31220),Undefined,Thousands,GBP (£),8918.95999284286
2013,,Forestry education/training (31281),Undefined,Thousands,GBP (£),111.047219887688
2013,,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),34872.7374670214
2013,,Forestry research (31282),Undefined,Thousands,GBP (£),320.80654204498
2013,,Forestry services (31291),Undefined,Thousands,GBP (£),140.108402570986
2013,,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),657.914795491785
2013,,,Undefined,Thousands,GBP (£),45021.5744198597
2014,,Forestry development (31220),Undefined,Thousands,GBP (£),53660.0679015265
2014,,Forestry education/training (31281),Undefined,Thousands,GBP (£),12.9854870183597
2014,,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),84031.7891403645
2014,,Forestry research (31282),Undefined,Thousands,GBP (£),284.332167887835
2014,,Forestry services (31291),Undefined,Thousands,GBP (£),9.84891391144755
2014,,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),600.614133192649
2014,,,Undefined,Thousands,GBP (£),138599.637743901
2015,,Forestry development (31220),Undefined,Thousands,GBP (£),16366.237791506
2015,,Forestry education/training (31281),Undefined,Thousands,GBP (£),206.993485919652
2015,,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),108130.056896063
2015,,Forestry research (31282),Undefined,Thousands,GBP (£),605.660532034418
2015,,Forestry services (31291),Undefined,Thousands,GBP (£),0.0
2015,,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),361.394073484385
2015,,,Undefined,Thousands,GBP (£),125670.342779007
2016,,Forestry development (31220),Undefined,Thousands,GBP (£),41504.4593601865
2016,,Forestry education/training (31281),Undefined,Thousands,GBP (£),172.528617523869
2016,,Forestry policy and administrative management (31210),Undefined,Thousands,GBP (£),50753.9328160632
2016,,Forestry research (31282),Undefined,Thousands,GBP (£),817.299846557775
2016,,Forestry services (31291),Undefined,Thousands,GBP (£),104.258874182665
2016,,Fuelwood/charcoal (31261),Undefined,Thousands,GBP (£),529.908249417804
2016,,,Undefined,Thousands,GBP (£),93882.3877639319
